ObjectID,LochCode,SurfaceArea,AuthID,LochAuth,IslandName,LochName,Price
1,NB9106,1,HLD,Highland,Mainland,Unnamed,5
2,HY2102,62,OKN,Orkney Islands,Mainland Orkney,Loch of Skaill,25
3,HY2003,1.4,OKN,Orkney Islands,Hoy,Water of the Wicks,5
4,HY2101,21,OKN,Orkney Islands,Mainland Orkney,Loch of Clumly,15
5,HY2103,8,OKN,Orkney Islands,Mainland Orkney,Mill Dam of Rango,8
6,HY2104,0.1,OKN,Orkney Islands,Mainland Orkney,Unnamed,2
7,HY2105,3.8,OKN,Orkney Islands,Mainland Orkney,Stromness Reservoir*,5
8,HY2109,1,OKN,Orkney Islands,Mainland Orkney,Unnamed,5
9,HY2113,0.1,OKN,Orkney Islands,Mainland Orkney,Unnamed,2
10,HY2202,237,OKN,Orkney Islands,Mainland Orkney,Loch of Boardhouse,50
11,HY2203,105,OKN,Orkney Islands,Mainland Orkney,Loch of Hundland,50
12,HY2204,25,OKN,Orkney Islands,Mainland Orkney,Loch of Sabiston,15
13,HY2211,0.1,OKN,Orkney Islands,Mainland Orkney,Unnamed,2
14,HY2227,0.2,OKN,Orkney Islands,Mainland Orkney,Unnamed,2
15,HY3001,100,OKN,Orkney Islands,Mainland Orkney,Loch of Kirbister,50
16,HY3101,26,OKN,Orkney Islands,Mainland Orkney,Loch of Bosquoy,15
17,HY3102,4,OKN,Orkney Islands,Mainland Orkney,The Shunan,5
18,HY3103,1.4,OKN,Orkney Islands,Mainland Orkney,Parro Shun*,5
19,HY3104,11,OKN,Orkney Islands,Mainland Orkney,Loch of Brockan,15
20,HY3105,16.5,OKN,Orkney Islands,Mainland Orkney,Loch of Wasdale,15
21,HY3124,0.2,OKN,Orkney Islands,Mainland Orkney,The Shunan,2
22,HY3203,216,OKN,Orkney Islands,Mainland Orkney,Loch of Swannay,50
23,HY3208,7.6,OKN,Orkney Islands,Mainland Orkney,Peerie Water,8
24,HY3302,14,OKN,Orkney Islands,Rousay,Loch of Wasbister,15
25,HY4001,6,OKN,Orkney Islands,Mainland Orkney,Loch of Ayre*,8
26,HY4002,4.8,OKN,Orkney Islands,Mainland Orkney,Loch of Graemeshall*,5
27,HY4003,0.8,OKN,Orkney Islands,Mainland Orkney,Loomi Shun,2
28,HY4009,0.1,OKN,Orkney Islands,Mainland Orkney,Loomi Shun,2
29,HY4010,0.2,OKN,Orkney Islands,Mainland Orkney,Black Loch,2
30,HY4512,1.1,OKN,Orkney Islands,Westray,Unnamed,5
31,HY4514,0.2,OKN,Orkney Islands,Westray,Unnamed,2
32,HY5001,0.6,OKN,Orkney Islands,Mainland Orkney,Unnamed,2
33,HY5003,1.3,OKN,Orkney Islands,Mainland Orkney,Loch of Lakequoy*,5
34,HY5004,1.1,OKN,Orkney Islands,Mainland Orkney,Loch of Messigate*,5
35,HY5005,0.6,OKN,Orkney Islands,Mainland Orkney,Loch of Ouse*,2
36,HY5006,63,OKN,Orkney Islands,Mainland Orkney,Loch of Tankerness,25
37,HY5007,0.8,OKN,Orkney Islands,Mainland Orkney,Unnamed,2
38,HY5008,0.9,OKN,Orkney Islands,Mainland Orkney,Unnamed,2
39,HY5009,0.1,OKN,Orkney Islands,Mainland Orkney,Unnamed,2
40,HY5101,8,OKN,Orkney Islands,Shapinsay,Lairo Water,8
41,HY5102,0.1,OKN,Orkney Islands,Shapinsay,Unnamed,2
42,HY5103,1.2,OKN,Orkney Islands,Mainland Orkney,Loch of Hestercruive*,5
43,HY5105,0.2,OKN,Orkney Islands,Shapinsay,Unnamed,2
44,HY5106,0.2,OKN,Orkney Islands,Shapinsay,Unnamed,2
45,HY5108,0.2,OKN,Orkney Islands,Shapinsay,Unnamed,2
46,HY5109,0.3,OKN,Orkney Islands,Shapinsay,Unnamed,2
47,HY5110,0.8,OKN,Orkney Islands,Shapinsay,Unnamed,2
48,HY5111,0.2,OKN,Orkney Islands,Shapinsay,Loch of Sandside*,2
49,HY5301,4.2,OKN,Orkney Islands,Eday,Loch of Doomy,5
50,HY5302,0.6,OKN,Orkney Islands,Eday,Loch of London,2
51,HY5304,0.2,OKN,Orkney Islands,Eday,Sealskerry Loch,2
52,HY6201,1.8,OKN,Orkney Islands,Stronsay,Unnamed,5
53,HY6205,17,OKN,Orkney Islands,Stronsay,Meikle Water,15
54,HY6206,1.4,OKN,Orkney Islands,Stronsay,Gricey Water*,5
55,HY6207,1.5,OKN,Orkney Islands,Stronsay,Blan Loch*,5
56,HY6208,4,OKN,Orkney Islands,Stronsay,Loch of Rothiesholm*,5
57,HY6209,1.2,OKN,Orkney Islands,Stronsay,Unnamed,5
58,HY6210,1.2,OKN,Orkney Islands,Stronsay,Bruce's Loch*,5
59,HY6211,0.1,OKN,Orkney Islands,Stronsay,Unnamed,2
60,HY6212,25,OKN,Orkney Islands,Stronsay,Lea Shun,15
61,HY6213,0.5,OKN,Orkney Islands,Stronsay,Little Water*,2
62,HY6214,1.2,OKN,Orkney Islands,Stronsay,Loch of Matpow*,5
63,HY6215,0.15,OKN,Orkney Islands,Stronsay,Black Loch,2
64,HY6216,5.8,OKN,Orkney Islands,Papa Stronsay,Mill Loch*,8
65,HY6218,1.4,OKN,Orkney Islands,Stronsay,Unnamed,5
66,HY6301,0.9,OKN,Orkney Islands,Sanday,Unnamed,2
67,HY6402,14,OKN,Orkney Islands,Sanday,Roos Loch,15
68,HY6403,0.9,OKN,Orkney Islands,Sanday,Unnamed,2
69,HY6406,0.3,OKN,Orkney Islands,Sanday,Pool near Howland,2
70,HY6407,2,OKN,Orkney Islands,Sanday,Loch of Riv*,5
71,HY6409,35,OKN,Orkney Islands,Sanday,Bea Loch,15
72,HY6410,0.8,OKN,Orkney Islands,Sanday,Unnamed,2
73,HY6414,0.5,OKN,Orkney Islands,Sanday,Unnamed,2
74,HY7501,0.06,OKN,Orkney Islands,North Ronaldsay,Unnamed,2
75,HY7502,0.03,OKN,Orkney Islands,North Ronaldsay,Unnamed,2
76,HY7503,1.2,OKN,Orkney Islands,North Ronaldsay,Ancum Loch,5
77,HY7504,0.9,OKN,Orkney Islands,North Ronaldsay,Brides Loch*,2
78,HY7505,0.1,OKN,Orkney Islands,North Ronaldsay,Brides Ness,2
79,HY7506,0.3,OKN,Orkney Islands,North Ronaldsay,Unnamed,2
80,HY7507,2.7,OKN,Orkney Islands,North Ronaldsay,Dennis Loch,5
81,HY7508,0.8,OKN,Orkney Islands,North Ronaldsay,Loch of Garso,2
82,HY7509,1.3,OKN,Orkney Islands,North Ronaldsay,Loch Gretchen,5
83,HY7510,5,OKN,Orkney Islands,North Ronaldsay,Hooking Loch,8
84,HY7511,0.1,OKN,Orkney Islands,North Ronaldsay,Unnamed,2
85,HY7512,0.05,OKN,Orkney Islands,North Ronaldsay,Unnamed,2
86,HY7514,0.8,OKN,Orkney Islands,North Ronaldsay,Trolla Vatn,2
87,HY4101,0.4,OKN,Orkney Islands,Shapinsay,Little Vasa Water*,2
88,HY4102,3,OKN,Orkney Islands,Shapinsay,Vasa Loch,5
89,HY4103,9,OKN,Orkney Islands,Shapinsay,Peerie Sea*,8
90,HY4104,3,OKN,Orkney Islands,Mainland Orkney,Resr.,5
91,HY4105,0.3,OKN,Orkney Islands,Mainland Orkney,Unnamed,2
92,HY4201,2,OKN,Orkney Islands,Egilsay,Loch of the Graand,5
93,HY4202,3.1,OKN,Orkney Islands,Egilsay,Manse Loch,5
94,HY4203,0.3,OKN,Orkney Islands,Gairsay,Unnamed,2
95,HY4205,0.1,OKN,Orkney Islands,Gairsay,Unnamed,2
96,HY4206,0.4,OKN,Orkney Islands,Gairsay,Unnamed,2
